Id,Prediction
1461,18.174038129968775
1462,19.63182341903982
1463,21.027280423343754
1464,22.203661318943446
1465,23.99536292658056
1466,22.042135696875068
1467,21.403488845434588
1468,22.076198022266492
1469,21.808076196591493
1470,17.609886128039637
1471,20.502754492833432
1472,16.648415395839315
1473,16.658933752691482
1474,20.844890201077177
1475,20.303075797821457
1476,28.355674211519766
1477,25.516635151774047
1478,26.634168956139092
1479,26.379279060598016
1480,28.902731853771435
1481,26.617453940473958
1482,25.043527544234593
1483,21.301590997512385
1484,22.31750862368154
1485,22.797462592123207
1486,22.880274700974518
1487,26.52281725811816
1488,24.225700141718388
1489,22.337931114383903
1490,22.9474623558159
1491,22.295673705446422
1492,17.78984007869882
1493,20.616400883699438
1494,27.444922045319554
1495,26.667758715717365
1496,23.934644741323126
1497,21.49192950934094
1498,21.985268240546738
1499,22.009880061939164
1500,21.383461575708374
1501,21.754773609525458
1502,21.880475090363603
1503,24.511644763948087
1504,25.02012497435713
1505,23.805038647070283
1506,21.840646389061966
1507,22.855654913771314
1508,21.090850085494118
1509,21.261290886554757
1510,19.31166440666933
1511,19.31166440666933
1512,19.500717292413764
1513,20.452321984498234
1514,20.0916407900313
1515,19.562253991747017
1516,19.72023120844685
1517,19.511580933717156
1518,19.60112595231827
1519,21.14366332131879
1520,19.12435673788158
1521,18.89506767090414
1522,20.311237446167215
1523,17.483689081759508
1524,17.557704367548386
1525,18.42217177432267
1526,18.06175276850124
1527,16.545110342203426
1528,18.867611540228133
1529,18.915120779894252
1530,20.631786397634805
1531,18.91074584333289
1532,16.74514396928936
1533,18.59294417044077
1534,17.75603210879358
1535,18.365213262935555
1536,17.56779129522608
1537,21.25695074425944
1538,20.11355139675642
1539,20.500596423315784
1540,20.271207449799192
1541,18.290124588516978
1542,17.403542495384347
1543,19.706789306756207
1544,15.192211693270096
1545,17.232009741116414
1546,18.284286206368833
1547,17.919027980728995
1548,17.639657517221927
1549,16.598633981142086
1550,18.162736405163486
1551,17.675657627487876
1552,18.705042371390125
1553,18.56392155125594
1554,18.351393696907856
1555,22.66776292936163
1556,21.1386738796498
1557,17.676858291255332
1558,18.22357709954688
1559,17.79896766408224
1560,18.954598433414667
1561,18.03804640399791
1562,18.29622694035004
1563,17.428015491232824
1564,18.479648683412442
1565,19.656062738692995
1566,22.847264373920755
1567,15.85367224817161
1568,24.26589809237604
1569,17.481892335251594
1570,18.932628716682096
1571,17.68785363452939
1572,17.783707772033182
1573,19.694849595939687
1574,17.632366723944315
1575,20.96776214559512
1576,21.780925043772186
1577,22.216853985348486
1578,19.896294941403994
1579,20.113092288567692
1580,23.594300345802882
1581,20.59263107283469
1582,20.883274235538444
1583,24.818670406648362
1584,24.29296835587523
1585,21.374316936500122
1586,14.774403132132885
1587,17.602542721154254
1588,18.256463245534885
1589,15.95080834378134
1590,18.408960155058125
1591,16.350672583574397
1592,17.343660275476637
1593,18.028234510092517
1594,18.771415152685773
1595,18.714897689259697
1596,23.564709099371488
1597,23.024784439347734
1598,22.94339744840936
1599,22.143588543997254
1600,22.212191354456863
1601,19.511199774063613
1602,16.551889540720364
1603,15.138170134965023
1604,23.787806821320572
1605,23.272191631148367
1606,20.291983987482315
1607,20.559867579559864
1608,24.43958064330083
1609,23.32507146994919
1610,22.882743188278752
1611,19.958007673552114
1612,20.143160880939053
1613,20.073344099809045
1614,16.811538768524528
1615,14.785692999317352
1616,14.785692999317352
